//Booster Packs
//Taken from https://yugioh.fandom.com/wiki/Booster_Pack
//International (Series 1, 2, 3 equivalent)
CT13,2016-MegaTins
MP16,2016-MegaTin-Mega-Pack
CT14,2017-MegaTins
MP17,2017-MegaTin-Mega-Pack
CT15,2018-Mega-Tins
MP18,2018-MegaTin-Mega-Pack
TN19,2019-Gold-Sarcophagus-Tin
MP19,2019-Gold-Sarcophagus-Tin-Mega-Pack
MP20,2020-Tin-of-Lost-Memories-Mega-Pack
//Movie Packs
MOV,YuGiOh-The-Movie
YMP1,3D-Bonds-Beyond-Time-Movie-Pack
MVP1,The-Dark-Side-of-Dimensions-Movie-Pack
//Power-Up Packs / Enhancement Packs    - OCG
//Premium Packs
PP01,Premium-Pack-1-Booster
PP02,Premium-Pack-2-Booster
//Promotion Packs   - OCG
//Special Packs - OCG
//Star Packs
SP13,Star-Pack-2013
SP14,Star-Pack-2014
SP15,Star-Pack-Arc-V-Booster
SP17,Star-Pack-Battle-Royal
SP18,Star-Pack-VRAINS
//Speed Duel Booster Packs
//Other
YAP1,Anniversary-Pack
EP1,Exclusive-Pack-1
//OCG
//TCG
DUSA,Duelist-Saga
DUPO,Duel-Power
DUOV,Duel-Overload
PEVO,Pendulum-Evolution
SHVA,Shadows-in-Valhalla
FIGA,Fists-of-the-Gadgets
TOCH,Toon-Chaos
GFTP,Ghosts-From-the-Past
MIL1,Millennium-Pack
TKN1,Token-Promos-1
TKN2,Token-Promos-2
TKN3,Token-Promos-3
TKN4,Token-Promos-4
WC4,World-Championship-2004
WC5,World-Championship-2005
WC6,World-Championship-2006
WC07,World-Championship-2007
WC08,World-Championship-2008
WCPP,World-Championship-2010-Card-Pack
WC11,World-Championship-2011-Card-Pack
WSUP,World-Superstars
